Time,Z-stack,Microns,Intensity,Cell
18,4,9.99185,876.435,7
19,0,0,359.289,7
19,1,2.49796,485.215,7
19,2,4.99592,699.42,7
19,3,7.49389,837.5,7
19,4,9.99185,910.112,7
20,0,0,353.985,7
20,1,2.49796,483.482,7
20,2,4.99592,679.138,7
20,3,7.49389,808.011,7
20,4,9.99185,888.049,7
21,0,0,365.861,7
21,1,2.49796,465.301,7
21,2,4.99592,592.53,7
21,3,7.49389,721.671,7
21,4,9.99185,828.696,7
22,0,0,360.031,7
22,1,2.49796,491.096,7
22,2,4.99592,606.149,7
22,3,7.49389,723.23,7
22,4,9.99185,813.155,7
1,0,0,839.149,8
1,1,2.49796,983.224,8
1,2,4.99592,1144.656,8
1,3,7.49389,1642.705,8
2,0,0,908.618,8
2,1,2.49796,1202.661,8
2,2,4.99592,1420.888,8
2,3,7.49389,1859.926,8
3,0,0,850.477,8
3,1,2.49796,1139.837,8
3,2,4.99592,1392.856,8
3,3,7.49389,1795.389,8
4,0,0,1006.87,8
4,1,2.49796,1289.965,8
4,2,4.99592,1548.578,8
4,3,7.49389,2013.531,8
5,0,0,951.455,8
5,1,2.49796,1225.973,8
5,2,4.99592,1471.461,8
5,3,7.49389,1982.599,8
6,0,0,870.274,8
6,1,2.49796,1076.774,8
6,2,4.99592,1286.79,8
6,3,7.49389,1724.017,8
7,0,0,878.414,8
7,1,2.49796,1043.124,8
7,2,4.99592,1197.166,8
7,3,7.49389,1580.476,8
8,0,0,787.691,8
8,1,2.49796,921.929,8
8,2,4.99592,1007.593,8
8,3,7.49389,1315.319,8
9,0,0,745.846,8
9,1,2.49796,845.337,8
9,2,4.99592,892.275,8
9,3,7.49389,1054.765,8
10,0,0,689.844,8
10,1,2.49796,769.343,8
10,2,4.99592,775.892,8
10,3,7.49389,937.233,8
11,0,0,715.153,8
11,1,2.49796,785.411,8
11,2,4.99592,780.61,8
11,3,7.49389,868.546,8
12,0,0,664.5344,8
12,1,2.49796,717.9055,8
12,2,4.99592,671.6052,8
12,3,7.49389,732.4392,8
13,0,0,681.722,8
13,1,2.49796,694.029,8
13,2,4.99592,589.244,8
13,3,7.49389,632.168,8
14,0,0,674.466,8
14,1,2.49796,692.139,8
14,2,4.99592,575.099,8
14,3,7.49389,552.273,8
15,0,0,682.461,8
15,1,2.49796,664.426,8
15,2,4.99592,547.75,8
15,3,7.49389,555.447,8
16,0,0,604.867,8
16,1,2.49796,578.1,8
16,2,4.99592,477.757,8
16,3,7.49389,488.207,8
17,0,0,751.47,8
17,1,2.49796,772.608,8
17,2,4.99592,609.972,8
17,3,7.49389,575.064,8
18,0,0,701.615,8
18,1,2.49796,786.914,8
18,2,4.99592,561.183,8
18,3,7.49389,501.946,8
19,0,0,721.665,8
19,1,2.49796,777.914,8
19,2,4.99592,531.375,8
19,3,7.49389,438.083,8
20,0,0,636.658,8
20,1,2.49796,700.891,8
20,2,4.99592,490.513,8
20,3,7.49389,379.211,8
21,0,0,618.596,8
21,1,2.49796,681.293,8
21,2,4.99592,505.995,8
21,3,7.49389,395.891,8
22,0,0,597.29,8
22,1,2.49796,617.448,8
22,2,4.99592,392.995,8
22,3,7.49389,327.294,8
23,0,0,621.101,8
23,1,2.49796,695.332,8
23,2,4.99592,472.793,8
23,3,7.49389,367.145,8
24,0,0,645.542,8
24,1,2.49796,696.345,8
24,2,4.99592,482.349,8
24,3,7.49389,368.098,8
25,0,0,587.381,8
25,1,2.49796,630.189,8
25,2,4.99592,424.41,8
25,3,7.49389,318.067,8
