Time,Z-stack,Microns,Intensity,Cell
23,2,4.99592,2386.495,2
23,3,7.49389,1643.471,2
23,4,9.99185,930.463,2
24,0,0,813.564,2
24,1,2.49796,1990.769,2
24,2,4.99592,2660.65,2
24,3,7.49389,1738.432,2
24,4,9.99185,921.675,2
25,0,0,832.21,2
25,1,2.49796,2055.933,2
25,2,4.99592,2740.825,2
25,3,7.49389,1745.284,2
25,4,9.99185,899.08,2
26,0,0,817.444,2
26,1,2.49796,2097.47,2
26,2,4.99592,2697.619,2
26,3,7.49389,1750.215,2
26,4,9.99185,949.575,2
27,0,0,830.652,2
27,1,2.49796,2029.828,2
27,2,4.99592,2646.391,2
27,3,7.49389,1811.897,2
27,4,9.99185,971.257,2
28,0,0,829.708,2
28,1,2.49796,1998.176,2
28,2,4.99592,2597.567,2
28,3,7.49389,1939.275,2
28,4,9.99185,981.61,2
29,0,0,810.258,2
29,1,2.49796,1905.011,2
29,2,4.99592,2575.029,2
29,3,7.49389,1903.448,2
29,4,9.99185,1077.587,2
30,0,0,781.766,2
30,1,2.49796,1926.393,2
30,2,4.99592,2565.356,2
30,3,7.49389,1943.258,2
30,4,9.99185,1132.418,2
31,0,0,824.801,2
31,1,2.49796,2051.714,2
31,2,4.99592,2605.691,2
31,3,7.49389,2045.87,2
31,4,9.99185,1251.934,2
32,0,0,807.126,2
32,1,2.49796,1901.783,2
32,2,4.99592,2500.568,2
32,3,7.49389,2161.129,2
32,4,9.99185,1373.887,2
33,0,0,776.762,2
33,1,2.49796,1902.68,2
33,2,4.99592,2384.108,2
33,3,7.49389,2227.848,2
33,4,9.99185,1386.596,2
34,0,0,783.09,2
34,1,2.49796,1741.218,2
34,2,4.99592,2297.866,2
34,3,7.49389,1906.493,2
34,4,9.99185,1255.302,2
35,0,0,725.625,2
35,1,2.49796,1641.641,2
35,2,4.99592,2057.92,2
35,3,7.49389,1853.783,2
35,4,9.99185,1236.682,2
36,0,0,806.12,2
36,1,2.49796,1775.881,2
36,2,4.99592,2204.445,2
36,3,7.49389,1974.052,2
36,4,9.99185,1235.823,2
37,0,0,868.364,2
37,1,2.49796,1845.512,2
37,2,4.99592,2289.294,2
37,3,7.49389,2001.906,2
37,4,9.99185,1173.598,2
